;Scopy version,f4beeb1
;Exported on,Freitag August 30/08/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
446,-0.00014,-1.90361,-0.0760607
447,-0.00013,-1.8869,-0.0760607
448,-0.00012,-1.8702,-0.0760607
449,-0.00011,-1.8535,-0.0760607
450,-0.0001,-1.82009,-0.059357
451,-9e-05,-1.80339,-0.059357
452,-8e-05,-1.76998,-0.059357
453,-7e-05,-1.76998,-0.059357
454,-6e-05,-1.75327,-0.059357
455,-5e-05,-1.73657,-0.059357
456,-4e-05,-1.73657,-0.059357
457,-3e-05,-1.70316,-0.059357
458,-2e-05,-1.70316,-0.059357
459,-1e-05,-1.68646,-0.059357
460,0,-1.65305,-0.0760607
461,1e-05,-1.65305,-0.0760607
462,2e-05,-1.63635,-0.0760607
463,3e-05,-1.60294,-0.0760607
464,4e-05,-1.58624,-0.0760607
465,5e-05,-1.56953,-0.059357
466,6e-05,-1.55283,-0.0760607
467,7e-05,-1.55283,-0.059357
468,8e-05,-1.51942,-0.059357
469,9e-05,-1.50272,-0.059357
470,0.0001,-1.48602,-0.059357
471,0.00011,-1.46931,-0.059357
472,0.00012,-1.45261,-0.059357
473,0.00013,-1.4359,-0.059357
474,0.00014,-1.4359,-0.059357
475,0.00015,-1.4192,-0.059357
476,0.00016,-1.4025,-0.059357
477,0.00017,-1.36909,-0.059357
478,0.00018,-1.36909,-0.059357
479,0.00019,-1.33568,-0.059357
480,0.0002,-1.31898,-0.059357
481,0.00021,-1.30227,-0.0760607
482,0.00022,-1.30227,-0.0760607
483,0.00023,-1.28557,-0.059357
484,0.00024,-1.26887,-0.059357
485,0.00025,-1.23546,-0.059357
486,0.00026,-1.23546,-0.059357
487,0.00027,-1.21876,-0.059357
488,0.00028,-1.20205,-0.059357
489,0.00029,-1.20205,-0.059357
490,0.0003,-1.15194,-0.059357
491,0.00031,-1.13524,-0.0760607
492,0.00032,-1.11853,-0.0760607
493,0.00033,-1.11853,-0.0760607
494,0.00034,-1.10183,-0.0760607
495,0.00035,-1.08513,-0.0760607
496,0.00036,-1.06842,-0.0760607
497,0.00037,-1.06842,-0.059357
498,0.00038,-1.01831,-0.0760607
499,0.00039,-1.01831,-0.059357
500,0.0004,-1.01831,-0.059357
501,0.00041,-0.984903,-0.0760607
502,0.00042,-0.9682,-0.0760607
503,0.00043,-0.951496,-0.0760607
504,0.00044,-0.918089,-0.0760607
505,0.00045,-0.918089,-0.0760607
506,0.00046,-0.901385,-0.0760607
507,0.00047,-0.884681,-0.0760607
508,0.00048,-0.884681,-0.0760607
509,0.00049,-0.851274,-0.0760607
510,0.0005,-0.83457,-0.0760607
511,0.00051,-0.817866,-0.0760607
512,0.00052,-0.801163,-0.0760607
513,0.00053,-0.801163,-0.0760607
514,0.00054,-0.767755,-0.0760607
515,0.00055,-0.751051,-0.059357
516,0.00056,-0.70094,-0.059357
517,0.00057,-0.734348,-0.059357
518,0.00058,-0.684236,-0.059357
519,0.00059,-0.684236,-0.059357
520,0.0006,-0.667533,-0.059357
521,0.00061,-0.650829,-0.059357
522,0.00062,-0.650829,-0.059357
523,0.00063,-0.617422,-0.0760607
524,0.00064,-0.600718,-0.0760607
525,0.00065,-0.584014,-0.0760607
526,0.00066,-0.56731,-0.0760607
527,0.00067,-0.56731,-0.059357
528,0.00068,-0.550607,-0.059357
529,0.00069,-0.533903,-0.059357
530,0.0007,-0.517199,-0.0760607
531,0.00071,-0.500496,-0.0760607
532,0.00072,-0.467088,-0.0760607
533,0.00073,-0.450384,-0.0760607
534,0.00074,-0.450384,-0.0760607
535,0.00075,-0.416977,-0.0760607
536,0.00076,-0.400273,-0.059357
537,0.00077,-0.38357,-0.059357
538,0.00078,-0.366866,-0.059357
539,0.00079,-0.366866,-0.0760607
540,0.0008,-0.350162,-0.059357
541,0.00081,-0.333458,-0.059357
542,0.00082,-0.316755,-0.059357
543,0.00083,-0.300051,-0.059357
544,0.00084,-0.283347,-0.0927645
545,0.00085,-0.283347,-0.0426533
546,0.00086,-0.233236,-0.0760607
547,0.00087,-0.216532,-0.0760607
548,0.00088,-0.199829,-0.059357
549,0.00089,-0.183125,-0.059357
550,0.0009,-0.166421,-0.0760607
551,0.00091,-0.166421,-0.059357
552,0.00092,-0.149717,-0.059357
553,0.00093,-0.133014,-0.059357
554,0.00094,-0.11631,-0.0760607
555,0.00095,-0.0996062,-0.0760607
556,0.00096,-0.0829025,-0.059357
557,0.00097,-0.0829025,-0.0760607
558,0.00098,-0.0494951,-0.0760607
559,0.00099,-0.0494951,-0.0760607
560,0.001,0.000616087,-0.059357
561,0.00101,0.0173198,-0.059357
562,0.00102,0.0340235,-0.059357
563,0.00103,0.0507273,-0.059357
564,0.00104,0.067431,-0.059357
565,0.00105,0.0841347,-0.059357
566,0.00106,0.0841347,-0.0760607
567,0.00107,0.100838,-0.0760607
568,0.00108,0.100838,-0.0760607
569,0.00109,0.134246,-0.0760607
570,0.0011,0.15095,-0.0760607
571,0.00111,0.167653,-0.059357
572,0.00112,0.201061,-0.059357
573,0.00113,0.217764,-0.059357
574,0.00114,0.234468,-0.059357
575,0.00115,0.251172,-0.0927645
576,0.00116,0.267876,-0.059357
577,0.00117,0.284579,-0.0760607
578,0.00118,0.284579,-0.059357
579,0.00119,0.301283,-0.059357
580,0.0012,0.317987,-0.059357
581,0.00121,0.334691,-0.059357
582,0.00122,0.351394,-0.059357
583,0.00123,0.351394,-0.059357
584,0.00124,0.368098,-0.0426533
585,0.00125,0.384802,-0.0426533
586,0.00126,0.384802,-0.0426533
587,0.00127,0.401505,-0.0259496
588,0.00128,0.401505,-0.0259496
589,0.00129,0.434913,-0.00924586
590,0.0013,0.434913,-0.00924586
591,0.00131,0.434913,0.0241616
592,0.00132,0.451617,0.0241616
593,0.00133,0.451617,0.0408653
594,0.00134,0.451617,0.0408653
595,0.00135,0.46832,0.0742728
596,0.00136,0.46832,0.0742728
597,0.00137,0.46832,0.0742728
598,0.00138,0.46832,0.10768
599,0.00139,0.46832,0.10768
600,0.0014,0.485024,0.10768
601,0.00141,0.485024,0.124384
602,0.00142,0.485024,0.157791
603,0.00143,0.485024,0.157791
604,0.00144,0.485024,0.157791
605,0.00145,0.501728,0.191199
606,0.00146,0.501728,0.191199
607,0.00147,0.501728,0.207903
608,0.00148,0.501728,0.207903
609,0.00149,0.501728,0.224606
610,0.0015,0.501728,0.274717
611,0.00151,0.501728,0.274717
612,0.00152,0.501728,0.291421
613,0.00153,0.501728,0.291421
614,0.00154,0.501728,0.324829
615,0.00155,0.501728,0.324829
616,0.00156,0.518431,0.341532
617,0.00157,0.518431,0.358236
618,0.00158,0.518431,0.358236
619,0.00159,0.518431,0.37494
620,0.0016,0.518431,0.391643
621,0.00161,0.518431,0.425051
622,0.00162,0.518431,0.408347
623,0.00163,0.518431,0.425051
624,0.00164,0.518431,0.458458
625,0.00165,0.518431,0.458458
626,0.00166,0.535135,0.475162
627,0.00167,0.535135,0.491866
628,0.00168,0.535135,0.491866
629,0.00169,0.535135,0.541977
630,0.0017,0.535135,0.541977
631,0.00171,0.535135,0.558681
632,0.00172,0.535135,0.575384
633,0.00173,0.535135,0.592088
634,0.00174,0.535135,0.592088
635,0.00175,0.535135,0.625496
636,0.00176,0.535135,0.625496
637,0.00177,0.535135,0.642199
638,0.00178,0.535135,0.642199
639,0.00179,0.535135,0.658903
640,0.0018,0.535135,0.69231
641,0.00181,0.551839,0.69231
642,0.00182,0.568543,0.709014
643,0.00183,0.535135,0.709014
644,0.00184,0.551839,0.725718
645,0.00185,0.551839,0.759125
646,0.00186,0.551839,0.792533
647,0.00187,0.551839,0.792533
648,0.00188,0.551839,0.809236
649,0.00189,0.551839,0.82594
650,0.0019,0.551839,0.82594
651,0.00191,0.551839,0.842644
652,0.00192,0.551839,0.876051
653,0.00193,0.551839,0.876051
